Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,Time_pas_Ans.response,Time_pas_Ans.rt,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,Session,Participant,date,expName,psychopyVersion,frameRate,
,,,2,1,79,,,,90,4.6,right,,,,0,1,0.7021288920077495,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,3,1,78,,,,90,-4.6,left,,,,0,1,0.38492795199272223,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,4,1,77,,,,0,-4.6,left,,,,0,1,0.4030186390009476,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,5,1,76,,,,90,-4.6,left,,,,0,0,0.48537206400942523,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,6,1,77,,,,0,4.6,right,,,,180,1,0.5839383010024903,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,7,1,77,,,,90,4.6,right,,,,0,1,0.3513727800018387,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,8,1,77,,,,0,4.6,right,,,,180,1,0.4692195279931184,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,9,1,76,,,,90,4.6,right,,,,0,1,0.33626449400617275,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,10,1,76,,,,90,-4.6,left,,,,180,1,0.3017191319959238,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,11,1,76,,,,0,-4.6,left,,,,180,1,0.30272861098637804,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,12,1,75,,,,0,-4.6,left,,,,0,1,0.4524560290010413,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,13,1,75,,,,0,-4.6,left,,,,180,1,0.4346747540112119,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,14,1,75,,,,0,-4.6,left,,,,180,1,0.3842396249965532,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,15,1,74,,,,90,-4.6,left,,,,0,1,0.48436813900480047,left,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,16,1,74,,,,90,4.6,right,,,,0,1,0.5017376400064677,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,17,1,74,,,,0,-4.6,left,,,,180,0,0.4686535660002846,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
