Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;10;1;71;;;;0;4.6;right;;;;0;1;0.887653876;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;11;1;70;;;;90;4.6;right;;;;180;1;0.671367135;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;12;1;69;;;;90;4.6;right;;;;180;1;0.78685599;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;13;1;68;;;;0;-4.6;left;;;;0;1;0.68910612;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;14;1;67;;;;0;4.6;right;;;;180;1;0.737618566;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;15;1;66;;;;0;4.6;right;;;;0;1;1.002651646;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;16;1;65;;;;0;-4.6;left;;;;180;0;2.093013866;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;17;1;66;;;;90;4.6;right;;;;180;1;0.922711845;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;18;1;66;;;;0;4.6;right;;;;0;1;1.372767134;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;19;1;66;;;;0;4.6;right;;;;180;1;0.78823374;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;20;1;65;;;;0;-4.6;left;;;;180;1;2.709279031;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;21;1;65;;;;0;-4.6;left;;;;0;0;1.721965277;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;22;1;66;;;;90;4.6;right;;;;0;1;1.219524412;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;23;1;66;;;;0;-4.6;left;;;;180;1;1.090315181;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;24;1;66;;;;0;4.6;right;;;;0;1;1.407019503;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;25;1;65;;;;0;-4.6;left;;;;180;0;1.440143062;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;26;1;66;;;;90;4.6;right;;;;0;1;1.244825686;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;27;1;66;;;;0;4.6;right;;;;180;0;1.222014677;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;28;1;67;;;;0;4.6;right;;;;0;1;0.956546476;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;29;1;67;;;;90;4.6;right;;;;0;1;2.422999201;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;30;1;67;;;;90;-4.6;left;;;;0;1;1.421381326;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;31;1;66;;;;90;-4.6;left;;;;180;1;1.09157618;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;32;1;66;;;;0;4.6;right;;;;0;0;1.561284301;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;33;1;67;;;;90;4.6;right;;;;0;1;1.170502395;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;34;1;67;;;;90;-4.6;left;;;;180;0;1.472857975;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;35;1;68;;;;90;-4.6;left;;;;0;1;0.970414223;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;36;1;68;;;;0;4.6;right;;;;0;1;2.074676316;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;37;1;68;;;;0;-4.6;left;;;;0;1;0.936427812;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;38;1;67;;;;0;4.6;right;;;;180;1;1.62232162;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;39;1;67;;;;0;4.6;right;;;;180;0;1.241387922;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;40;1;68;;;;90;4.6;right;;;;0;1;2.023705557;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;41;1;68;;;;90;-4.6;left;;;;180;1;1.190249036;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;42;1;68;;;;90;-4.6;left;;;;0;1;1.052379881;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;43;1;67;;;;90;-4.6;left;;;;180;1;0.883545941;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;44;1;67;;;;90;-4.6;left;;;;0;1;1.391903052;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;45;1;67;;;;0;4.6;right;;;;180;1;1.620857802;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;46;1;66;;;;0;4.6;right;;;;0;1;1.185561537;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;47;1;66;;;;90;4.6;right;;;;180;0;1.204273937;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;48;1;67;;;;0;-4.6;left;;;;180;1;1.088632441;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;49;1;67;;;;0;-4.6;left;;;;180;0;1.138539477;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;50;1;68;;;;90;-4.6;left;;;;0;1;0.72090024;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;51;1;68;;;;0;4.6;right;;;;0;0;0.951446381;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;52;1;69;;;;90;4.6;right;;;;180;1;1.588432208;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;53;1;69;;;;90;4.6;right;;;;180;1;1.359824274;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;54;1;69;;;;0;-4.6;left;;;;0;1;0.919454103;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;55;1;68;;;;90;-4.6;left;;;;180;1;0.922802053;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;56;1;68;;;;0;-4.6;left;;;;0;1;0.986850023;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;57;1;68;;;;90;4.6;right;;;;0;0;1.17527639;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;58;1;69;;;;0;-4.6;left;;;;180;1;0.841454342;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;59;1;69;;;;90;4.6;right;;;;0;0;1.341008616;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;60;1;70;;;;90;-4.6;left;;;;180;1;0.85200183;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;61;1;70;;;;0;4.6;right;;;;180;0;1.036398408;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;62;1;71;;;;90;-4.6;left;;;;0;1;0.768878013;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;63;1;71;;;;0;4.6;right;;;;180;0;0.843579871;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;64;1;72;;;;0;4.6;right;;;;180;1;0.974873188;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;65;1;72;;;;0;4.6;right;;;;180;1;0.921549602;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;66;1;72;;;;90;4.6;right;;;;0;1;0.85191599;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
