Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
30;1;68;;;;;;-4.6;90;-4.6;left;1;0.62202096;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
31;1;68;;;;;;4.6;0;-4.6;left;0;1.543659205;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
32;1;69;;;;;;4.6;90;-4.6;left;1;0.970836685;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
33;1;69;;;;;;-4.6;0;-4.6;left;1;1.190202795;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
34;1;69;;;;;;4.6;90;-4.6;left;1;3.142203041;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
35;1;68;;;;;;4.6;90;4.6;right;1;0.93421509;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
36;1;68;;;;;;4.6;0;4.6;right;1;0.702281653;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
37;1;68;;;;;;-4.6;90;4.6;right;1;0.855711938;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
38;1;67;;;;;;4.6;0;4.6;right;1;0.724059773;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
39;1;67;;;;;;4.6;90;4.6;right;1;0.887952617;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
40;1;67;;;;;;-4.6;90;-4.6;left;1;1.160342757;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
41;1;66;;;;;;4.6;0;-4.6;left;0;0.990841901;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
42;1;67;;;;;;4.6;90;-4.6;left;1;0.84024926;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
43;1;67;;;;;;4.6;90;4.6;right;1;0.975012997;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
44;1;67;;;;;;4.6;0;-4.6;left;1;0.823637656;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
45;1;66;;;;;;-4.6;0;4.6;right;0;0.822003691;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
46;1;67;;;;;;4.6;0;4.6;right;1;0.805960708;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
47;1;67;;;;;;-4.6;90;-4.6;left;1;0.770809593;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
48;1;67;;;;;;4.6;0;-4.6;left;1;0.987657215;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
49;1;66;;;;;;-4.6;0;4.6;right;0;0.872929895;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
50;1;67;;;;;;4.6;90;-4.6;left;0;0.788009095;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
