Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,,,,30,1,71,,,,,,,,,,90,4.6,right,,,,-4.6,1,0.618147,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,31,1,71,,,,,,,,,,0,4.6,right,,,,-4.6,0,1.6192952,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,32,1,72,,,,,,,,,,0,-4.6,left,,,,4.6,0,1.0978893,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,33,1,73,,,,,,,,,,0,4.6,right,,,,4.6,1,0.8346911,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,34,1,73,,,,,,,,,,0,4.6,right,,,,-4.6,1,0.9681074,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,35,1,73,,,,,,,,,,0,4.6,right,,,,4.6,1,0.6186563,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,36,1,72,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.6351225,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,37,1,72,,,,,,,,,,90,-4.6,left,,,,4.6,0,0.6852175,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,38,1,73,,,,,,,,,,0,4.6,right,,,,4.6,1,0.6518373,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,39,1,73,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.8684151,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,40,1,73,,,,,,,,,,90,4.6,right,,,,-4.6,1,0.5679328,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,41,1,72,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.6854105,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,42,1,72,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.7519428,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,43,1,72,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.8520081,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,44,1,71,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.6527424,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,45,1,71,,,,,,,,,,0,4.6,right,,,,4.6,1,0.5515301,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,46,1,71,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.5024689,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,47,1,70,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.5679523,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,48,1,70,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.6347994,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,49,1,70,,,,,,,,,,0,4.6,right,,,,-4.6,0,0.5676504,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,50,1,71,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.7018313,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,51,1,71,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.5851452,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,52,1,71,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.6358322,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,53,1,70,,,,,,,,,,90,4.6,right,,,,-4.6,0,0.7512865,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,54,1,71,,,,,,,,,,0,4.6,right,,,,-4.6,1,0.8189703,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,55,1,71,,,,,,,,,,90,4.6,right,,,,4.6,1,0.4673781,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
