Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,Time_pas_Ans.response,Time_pas_Ans.rt,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,Session,Participant,date,expName,psychopyVersion,frameRate,
68,1,67,,,,,,-4.6,0,4.6,right,1,0.7996604639993166,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
69,1,66,,,,,,4.6,0,4.6,right,1,1.1658043509996787,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
70,1,66,,,,,,4.6,90,-4.6,left,1,1.18231471099989,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
71,1,66,,,,,,4.6,0,4.6,right,0,1.6478307500001392,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
72,1,67,,,,,,4.6,90,-4.6,left,1,2.2133331570003065,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
73,1,67,,,,,,-4.6,0,-4.6,left,1,0.6001172369997221,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
74,1,67,,,,,,4.6,0,4.6,right,0,0.7168740630004322,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
75,1,68,,,,,,-4.6,0,4.6,right,1,0.9994871799999601,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
76,1,68,,,,,,4.6,90,4.6,right,0,2.2634567300001436,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
77,1,69,,,,,,-4.6,0,4.6,right,1,0.8165074219996313,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
