Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
71;1;69;;;;180;0;4.6;right;1;0.786731584;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
72;1;69;;;;180;0;-4.6;left;0;1.219832867;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
73;1;70;;;;180;90;-4.6;left;0;0.319598329;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
74;1;71;;;;180;0;-4.6;left;0;0.433786035;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
75;1;72;;;;0;0;-4.6;left;0;0.667383702;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
76;1;73;;;;0;0;4.6;right;1;0.619276183;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
77;1;73;;;;180;90;-4.6;left;0;0.834017641;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
78;1;74;;;;180;90;-4.6;left;0;0.516721236;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
79;1;75;;;;180;0;-4.6;left;0;0.766750035;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
80;1;76;;;;180;0;-4.6;left;1;0.435343601;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
81;1;76;;;;0;90;-4.6;left;1;0.419269572;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
82;1;76;;;;0;0;4.6;right;1;0.38571029;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
;;;0;1;81;;0;-4.6;left;;;;4.6;0;2.618630686;right;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
;;;1;1;82;;90;-4.6;left;;;;-4.6;1;1.070195332;left;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
;;;2;1;81;;0;-4.6;left;;;;4.6;1;2.019256387;left;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
;;;3;1;81;;0;4.6;right;;;;4.6;1;0.753098354;right;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
;;;4;1;81;;90;-4.6;left;;;;4.6;1;1.286800062;left;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
